tweet_id,airline_sentiment,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
567900433542488064,negative,Southwest,,ColeyGirouard,,0,"@SouthwestAir I am scheduled for the morning, 2 days after the fact, yes..not sure why my evening flight was the only one Cancelled Flightled",,2015-02-17 20:16:29 -0800,Washington D.C.,Atlantic Time (Canada)
569989168903819264,positive,Southwest,,WalterFaddoul,,0,@SouthwestAir seeing your workers time in and time out going above and beyond is why I love flying with you guys. Thank you!,,2015-02-23 14:36:22 -0800,"Indianapolis, Indiana; USA",Central Time (US & Canada)
568089179520954368,positive,United,,LocalKyle,,0,"@united Flew ORD to Miami and back and  had great crew, service on both legs. THANKS",,2015-02-18 08:46:29 -0800,Illinois,Central Time (US & Canada)
568928195581513728,negative,Southwest,,amccarthy19,,0,@SouthwestAir @dultch97 that's horse radish 😤🐴,,2015-02-20 16:20:26 -0800,,Atlantic Time (Canada)
568594180014014464,negative,United,,J_Okayy,,0,"@united so our flight into ORD was delayed because of Air Force One, but the last flight to SBN is at 8:20, 5 mins from now we just landed.",,2015-02-19 18:13:11 -0800,,Eastern Time (US & Canada)
569677636613439488,negative,United,,bobgiolito,,0,@united Why did you load us in this flying sardine can if you knew the pilots were 2 hours Late Flight?? #incompetent beyond belief,,2015-02-22 17:58:27 -0800,"Los Angeles, CA",Pacific Time (US & Canada)
569658903044218880,negative,Delta,,aaronkinnari,,0,@JetBlue that is a stock response. Delays not as frustrating as poor cust serv &amp; being told by 3 ppl to wait &amp; they'd come back but did not.,,2015-02-22 16:44:00 -0800,Gotham,Quito
568542766860541952,positive,Delta,,TimothySays,,0,@JetBlue That'd be nice! Hoping to rack up enough miles to take a trip to Seattle and enjoy a perfect latte in the city of coffee.,,2015-02-19 14:48:53 -0800,"Burlington, MA",Eastern Time (US & Canada)
570116209263427584,negative,United,,lindaSWC,,1,"@united frankly worse customer service ever. Problems will happen, how you deal defines a company. Never again United.",,2015-02-23 23:01:11 -0800,,
568870144891600896,positive,Southwest,,amyums,,0,@SouthwestAir yeah haha. Never been in one. It's expensive 😂😂 and we will!!!!! So much fun! #destinationdragons,,2015-02-20 12:29:46 -0800,,Central Time (US & Canada)
567793635892174848,negative,Southwest,,Faultie,,0,@SouthwestAir MCO-&gt;DCA flight almost full of people screwed by the MSY-DCA Cancelled Flightation. @united and @USAirways didn't Cancelled Flight. SWA=mistake.,"[38.73693556, -90.35367062]",2015-02-17 13:12:06 -0800,D.C.,
569879497891303424,neutral,Delta,,tonymbove,,0,@JetBlue what's the easiest way to get a ticket receipt? Can I get one at check in or can I get one online? Thanks!,,2015-02-23 07:20:34 -0800,"Cambridge, MA",Quito
568517827482685440,positive,US Airways,,sherrylweir,,0,"@USAirways - love the changes in the lounge - cheese, veggies, olives in addition to the crackers and snack mix,",,2015-02-19 13:09:47 -0800,,Quito
568212893012860928,negative,Southwest,,Mselite25,,0,@SouthwestAir I receive bad customer service and ended up spending several hundred dollars to accommodate my family during each cxl flight,,2015-02-18 16:58:05 -0800,Rite behind my $$,Mountain Time (US & Canada)
569270187725160449,negative,US Airways,,KennethBracy,,0,@USAirways you're killing me sche a flight to board 3 min after mine arrived with gate on other side of airport #genious,,2015-02-21 14:59:23 -0800,Where ever God puts me,
567816651900583936,negative,US Airways,,SyncSummit,,0,@USAirways 8 weeks to refund this ticket - 0372389047497?!? - totally unacceptable.  Fix this or I'll put it on blast on social media and TV,,2015-02-17 14:43:33 -0800,Where Music meets Visual Media,Eastern Time (US & Canada)
569690131235340288,negative,American,,Lioninflorida,,0,@AmericanAir no private msg me and will provide details...u really need customer svc training for your staff,,2015-02-22 18:48:06 -0800,"Fort Myers, Florida",Eastern Time (US & Canada)
569932678688055296,negative,Delta,,TheBuie,,22,can you not? RT @JetBlue Our fleet's on fleek. http://t.co/413GiAL0yl,,2015-02-23 10:51:54 -0800,"Raleigh, NC",Eastern Time (US & Canada)
569939494465462272,negative,Delta,,TheRealOx,,0,@JetBlue any info on why flight 704 from SJU to JFK is already delayed 2 1/2 hours?,,2015-02-23 11:18:59 -0800,,Eastern Time (US & Canada)
569958224968982528,negative,American,,Rizzilient,,0,"@AmericanAir, I've tried no less than 8 times today to get in touch with your service desk beginning at 8:30 EST.  I'm having no luck -help!",,2015-02-23 12:33:24 -0800,,
568361346464497664,negative,US Airways,,TomFutureforall,,0,@USAirways new problem...had wrong last name on reservation which is airways fixed. New can't get through TSA,,2015-02-19 02:47:59 -0800,,
568126682336534529,neutral,Southwest,,DoctorFox007,,0,@SouthwestAir Any possible chance of SWA bringing back service between LGA-BWI? It would make it much easier to connect to the west coast.,,2015-02-18 11:15:31 -0800,"ÜT: 40.819919,-73.864869",Eastern Time (US & Canada)
568883826333777920,negative,US Airways,,chrisseifert83,,0,@USAirways @AmericanAir who runs the show at the airport have a boarding pass says us airways and I have to wait in American line #yousuck,,2015-02-20 13:24:08 -0800,"Stamford, Ct",Eastern Time (US & Canada)
570055700790931456,negative,United,,JeffPKirkland,,0,@united computers are down but you stopped giving updates and took my flight info off the app. That's just ridiculous keep people updated!,,2015-02-23 19:00:44 -0800,Oregon,Pacific Time (US & Canada)
568804026789138433,positive,United,,jonatzzValdez,,0,@united good fly!! #United #businessFirst,"[29.98445184, -95.33224657]",2015-02-20 08:07:02 -0800,Mexico,Central Time (US & Canada)
567925054853496832,neutral,United,,MusseZam,,0,"@united I am flying from msp to dxb, my child will turn 2 during the trip do I have to buy a return ticket for my child?",,2015-02-17 21:54:19 -0800,,
568434301496381441,negative,Delta,,Old_bauer,,0,@JetBlue loves Cancelled Flightling tickets and not telling their customers #flyunited,,2015-02-19 07:37:53 -0800,,Eastern Time (US & Canada)
570083397873373184,negative,United,,KeenanPam,,0,"@united In ORD, waited 20 min after crew members left before gate items came. Flight attendant sarcastically said good luck and walked away.",,2015-02-23 20:50:48 -0800,,
568585356586586113,positive,Southwest,,Salem_Eways,,0,@SouthwestAir Jason (108639) at Gate #3 in SAN made my afternoon!!! #southwestairlines #stellarservice #thanks!,,2015-02-19 17:38:07 -0800,,
570022265343123456,positive,American,,MarkMan23,,0,@AmericanAir everything for sorted out. Thanks for the help. Excited to get home tonight!,,2015-02-23 16:47:53 -0800,"San Diego, CA",Pacific Time (US & Canada)
569658725016809472,negative,American,,U2Ken,,0,@AmericanAir understand the weather but would be nice to hear an apology on the phone when you moved my flight to an inconvenient day,,2015-02-22 16:43:18 -0800,Tucson,Pacific Time (US & Canada)
567737653118779392,positive,Southwest,,StarkTTT,,0,@SouthwestAir and thanks!,,2015-02-17 09:29:39 -0800,Château d'If,Central Time (US & Canada)
569098396914421763,negative,United,,NicoleRoundy,,0,@united it's been booked into first class with curbside delivery 24 hours from now. I'm counting on it! #TeamUSA,,2015-02-21 03:36:45 -0800,"Park City, UT",Mountain Time (US & Canada)
568801701378928641,positive,Delta,,mariobonifacio,,0,@JetBlue Oh that totally looks on par with @AmericanAir's Admirals Club; any way you can slide us a couple passes? ;),,2015-02-20 07:57:48 -0800,New York,Eastern Time (US & Canada)
569917117576949760,negative,American,,ricmarias,,0,@AmericanAir We've 15 official complaints signed by #AmericanAirlines Lima supervisor. Customer Relations pls compensate 4 the 10-hour delay,,2015-02-23 09:50:04 -0800,,Madrid
570065109961322496,negative,Delta,,DarthVada_R2D2,,0,@JetBlue but the 4 hour policy- when I called and they said I didn't report it soon enough. What would have changed if I had noticed sooner?,,2015-02-23 19:38:08 -0800,,Atlantic Time (Canada)
569625953602834433,negative,United,,iamchriswoody,,0,"@united the most frustrating flying experience. One continuous ""I dunno what time you will leave today. "". Dunno?! That's code for ...?",,2015-02-22 14:33:05 -0800,Richmond Virginia ,Eastern Time (US & Canada)
569242798953594880,negative,Southwest,,inspiration4ppl,,0,@SouthwestAir Hi I just got a message that part of my flights is Cancelled Flightled. I can't rebook online and nobody answers my phone call. Help me,,2015-02-21 13:10:33 -0800,"명동서식 37.56638,126.984994",Seoul
567722330340986880,negative,Southwest,,ClaudddiaVS,,0,@SouthwestAir I need updates on my flights 464 &amp; 3574. I have been on hold for over 2 hours.,"[30.35571967, -87.27675562]",2015-02-17 08:28:45 -0800,"Northridge, CA",Pacific Time (US & Canada)
569863183961165826,neutral,US Airways,,BSmithwood,,0,@USAirways I'm supposed to fly through Dallas. Can you help me get a new itinerary?,,2015-02-23 06:15:45 -0800,"Boston, MA",
570269633778855936,negative,American,,rqualls,,0,@AmericanAir so you fail again flight to rdu sitting waiting on flight attendants. your logistics are not good,,2015-02-24 09:10:50 -0800,,
569808684252942336,positive,United,,Steinberg1,,0,@united I am impressed with your super-fast reply to @CGJase,"[20.0615871, 110.18390431]",2015-02-23 02:39:11 -0800,Beijing,Beijing
569336252597731329,negative,United,,Colettod,,0,@united no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw,,2015-02-21 19:21:55 -0800,"Ottawa, ON",Eastern Time (US & Canada)
569917765676601344,negative,US Airways,,jonbrownmusic,,0,@USAirways Who intentionally buys a flight with a 10 hour layover?  And what kind of airline would charge $200 to fix it? Wow... #usairways,,2015-02-23 09:52:38 -0800,New Orleans,
567765679764697089,negative,Southwest,,OnyxMediagroup1,,0,@SouthwestAir do you do auto callbacks so I don't have to wait on hold?,,2015-02-17 11:21:01 -0800,USA,Eastern Time (US & Canada)
569271561481531392,neutral,United,,BekeAbe,,0,@united can I get your service desk # at IAD?,,2015-02-21 15:04:51 -0800,Gooner,Eastern Time (US & Canada)
570231750959329280,positive,Delta,,eatgregeat,,0,@JetBlue your blue helped bring out the color of my eyes. And I promise I didn't eat all the free snacks.,"[34.02764112, -118.49636416]",2015-02-24 06:40:18 -0800,,Eastern Time (US & Canada)
568462177415372801,positive,United,,DeltaBravo33,,0,@united Yes ! :D (Y) From @therealaviation on Instagram :),,2015-02-19 09:28:39 -0800,France,
568193698284118016,negative,Delta,,djh11375,,0,@JetBlue I did not report the updated info - don't know how to reach them without a super long wait on hold at your main number.,,2015-02-18 15:41:48 -0800,"Forest Hills, NY",Eastern Time (US & Canada)
568542018760286209,neutral,Delta,,royalsherman,,0,"@JetBlue I want to enter the family pooling contest, it says ""by 2/19"" on the website, can I please enter still!",,2015-02-19 14:45:54 -0800,,
568633911959363586,neutral,US Airways,,syfialkoff,,0,@USAirways and that you can choose the same seat for free after clicking 100 buttons.,,2015-02-19 20:51:03 -0800,,
570101817041747968,negative,United,,kbleggett,,0,@united plus what about food? And taxis?,,2015-02-23 22:03:59 -0800,"Ottawa, Canada",Eastern Time (US & Canada)
569356553977012225,negative,US Airways,,PhilHagen,,0,@USAirways 3hr30min right now...  any end in sight?,,2015-02-21 20:42:35 -0800,"Lewes, DE, USA",Eastern Time (US & Canada)
569875430951542784,negative,Southwest,,ChrisSaysThis,,0,"@SouthwestAir, you're really going to let @delta and @virginamerica get the best of you? http://t.co/vUdWJm1lYB",,2015-02-23 07:04:25 -0800,"Boston, MA",Eastern Time (US & Canada)
569436595746684929,negative,US Airways,,drewdenker,,0,@USAirways claims flight Cancelled Flighted due to weather at destination but Delta has not Cancelled Flighted flight on same route.,,2015-02-22 02:00:38 -0800,,
569239947061927938,positive,Delta,,CamiCorreaBal,,0,"@JetBlue thanks so much for help Us, u r amazing!",,2015-02-21 12:59:14 -0800,,Bogota
569852965315584000,negative,American,,bartellpeter,,0,@AmericanAir haha I did. They said it wasn't their fault somehow? You guys r a joke,,2015-02-23 05:35:08 -0800,,
569818121302896640,negative,American,,BiancaFernet,,0,@AmericanAir your customer service is inferior to that of a nationalized third world nation's airline. Get it together.,,2015-02-23 03:16:41 -0800,,
569660166959865856,negative,American,,joerago,,0,@AmericanAir Why does your iPhone app not have any sort of notifications option?,,2015-02-22 16:49:02 -0800,"Chicago, IL",Central Time (US & Canada)
569907141596864514,positive,United,,D_WaYnE_01,,0,@united thank you!,,2015-02-23 09:10:25 -0800,,
569917869296758784,negative,American,,Rozzinbags5,,0,@AmericanAir I've been trying to reach your customer service for TWO days. I have received zero response. Never traveling AA again.,,2015-02-23 09:53:03 -0800,,
567767744356294656,negative,United,,thodge77,,0,@united flight 4567 agent now wandered off. Pilots came out looking for her. Went to charge her personal phone which she'd been txting on,,2015-02-17 11:29:13 -0800,Memphis,Central Time (US & Canada)
568964974611193858,negative,United,,Snow4meErika,,2,"@united first you lost all my bags, now you Cancelled Flight my flight home. 30 min wait to talk to somebody #poorservice #notgoodenough",,2015-02-20 18:46:35 -0800,,
